epoch,step,test/accuracy,test/f1_score,test/loss,train/accuracy,train/f1_score,train/loss_epoch,train/loss_step,val/accuracy,val/f1_score,val/loss,val_f1_score
7,671,,,,,,,,0.992304801940918,0.9866068363189697,1.0910364389419556,0.9866068363189697
7,671,,,,0.9919294118881226,0.9908328056335449,1.0866447687149048,,,,,
8,679,,,,,,,1.1592612266540527,,,,
8,689,,,,,,,1.0986167192459106,,,,
8,699,,,,,,,1.0414843559265137,,,,
8,709,,,,,,,1.0616861581802368,,,,
8,719,,,,,,,1.0617663860321045,,,,
8,729,,,,,,,1.0970500707626343,,,,
8,739,,,,,,,1.036454677581787,,,,
8,749,,,,,,,1.1402976512908936,,,,
8,755,,,,,,,,0.9932432174682617,0.9926332235336304,1.079609990119934,0.9926332235336304
8,755,,,,0.9939470887184143,0.9928768873214722,1.0826605558395386,,,,,
9,759,,,,,,,1.0295330286026,,,,
9,769,,,,,,,1.0223984718322754,,,,
9,779,,,,,,,1.1115927696228027,,,,
9,789,,,,,,,1.0228161811828613,,,,
9,799,,,,,,,1.0590527057647705,,,,
9,809,,,,,,,1.1421420574188232,,,,
9,819,,,,,,,1.0213154554367065,,,,
9,829,,,,,,,1.0602000951766968,,,,
9,839,,,,,,,0.9688268899917603,,,,
9,839,,,,,,,,0.99793541431427,0.9984251260757446,1.0634700059890747,0.9984251260757446
9,839,,,,0.9949793815612793,0.9949042201042175,1.0724080801010132,,,,,
10,849,,,,,,,1.0859624147415161,,,,
10,859,,,,,,,1.002585530281067,,,,
10,869,,,,,,,1.0680873394012451,,,,
10,879,,,,,,,1.2173906564712524,,,,
10,889,,,,,,,1.1486448049545288,,,,
10,899,,,,,,,1.0373796224594116,,,,
10,909,,,,,,,1.0721416473388672,,,,
10,919,,,,,,,1.060136318206787,,,,
10,923,,,,,,,,0.9954954981803894,0.9960024356842041,1.0735218524932861,0.9960024356842041
10,923,,,,0.9968093037605286,0.9961506724357605,1.0724085569381714,,,,,
11,929,,,,,,,1.1369433403015137,,,,
11,939,,,,,,,1.0370032787322998,,,,
11,949,,,,,,,1.0286157131195068,,,,
11,959,,,,,,,1.1290756464004517,,,,
